iter	MAE	RMSE
200	666.0381715	943.9036142
201	665.1383474	942.6820848
202	664.87461	942.2000516
203	664.4550339	941.5482225
204	664.1968923	941.0647181
205	663.7609384	940.2981691
206	663.1949616	939.3590099
207	662.7551567	938.7989394
208	662.1578501	938.0869064
209	661.9592773	937.7048666
210	661.7256542	937.4930652
211	661.2006937	936.7503415
212	660.6012606	935.9562776
213	659.7848612	934.9423163
214	659.3482696	934.3743486
215	658.8969116	933.7903234
216	658.5330382	933.2496099
217	657.8427229	932.1939917
218	657.6019663	931.7598955
219	657.1254302	931.1001499
220	656.4734189	930.344365
221	656.2126399	929.9838895
222	656.197092	929.9731252
223	655.4759008	928.8113415
224	655.07198	928.0726274
225	654.6446012	927.2614345
226	654.1225693	926.4459687
227	653.5155285	925.4617613
228	653.320548	925.1357127
229	652.8196381	924.6124347
230	652.7042441	924.4139586
231	652.3564564	923.7463834
232	652.2036017	923.4008515
233	651.3908772	922.1787331
234	651.0448892	921.7648171
235	650.7654088	921.1914635
236	650.0010568	920.2344837
237	649.7194459	919.9576097
238	649.3612055	919.5393887
239	648.6970375	918.3478288
240	648.5138654	918.0440173
241	647.9073679	917.2929529
242	647.5812047	916.6262938
243	647.2606523	916.2152574
244	647.0241166	915.8256364
245	646.765508	915.4571652
246	646.3233707	914.9578402
247	645.5688756	913.8625869
248	645.4468108	913.7749913
249	645.1940588	913.4723851
250	644.5456072	912.6606725
251	644.2868217	912.3625669
252	643.8580654	911.7367461
253	643.5087899	911.1442897
254	642.8367022	909.9545057
255	642.4141513	909.477939
256	641.7765695	908.3355193
257	641.4062858	907.748375
258	640.9162563	906.9242367
259	640.8214581	906.8457873
260	640.4376624	906.4194335
261	639.9247125	905.5054717
262	639.5239672	904.9747552
263	638.9671998	904.1945296
264	638.4445879	903.623846
265	638.0701523	903.0921162
266	637.6759809	902.553455
267	637.1180215	901.6225284
268	636.382197	900.5034586
269	635.9701334	899.7468275
270	635.7998916	899.5539055
271	635.2622276	898.8580968
272	634.5927388	897.9985465
273	633.6104829	896.4579628
274	633.4039234	896.1361919
275	632.7723241	895.3006963
276	632.3810749	894.8250228
277	631.6957737	893.9783516
278	631.2998891	893.2900274
279	631.0768639	893.0426897
280	630.4927785	891.9921336
281	629.6090445	890.4999372
282	629.2406707	890.1050887
283	628.9145615	889.7199536
284	628.6723223	889.3941732
285	627.8589774	887.9031634
286	627.0589992	886.5237861
287	626.5343927	885.8312522
288	626.1882499	885.1913434
289	625.1546908	883.8772647
290	624.8819861	883.60333
291	624.4886538	883.0429844
292	624.1314365	882.5242626
293	623.9953084	882.3801828
294	623.3744385	881.4815383
295	622.6865785	880.509226
296	622.5001112	880.2628645
297	621.760583	879.1091218
298	620.9626935	877.8196547
299	620.68234	877.5158084
